layer,head,mean_value,rank
6,8,1.42578125,319
6,13,1.42578125,320
11,14,1.42578125,321
21,10,1.42578125,322
23,1,1.42578125,323
23,14,1.42578125,324
8,1,1.4267578125,325
20,12,1.4267578125,326
21,9,1.4267578125,327
14,13,1.427734375,328
17,7,1.427734375,329
1,6,1.4287109375,330
10,14,1.4287109375,331
13,9,1.4287109375,332
0,6,1.4296875,333
7,0,1.4296875,334
9,5,1.4296875,335
16,5,1.4296875,336
10,6,1.4306640625,337
11,7,1.4306640625,338
20,1,1.4306640625,339
22,14,1.4306640625,340
8,15,1.431640625,341
8,2,1.4326171875,342
12,3,1.4326171875,343
21,3,1.4326171875,344
22,4,1.4326171875,345
22,15,1.43359375,346
2,5,1.4345703125,347
1,0,1.435546875,348
11,15,1.435546875,349
3,11,1.4365234375,350
6,5,1.4365234375,351
8,14,1.4375,352
22,8,1.4375,353
0,13,1.4384765625,354
12,12,1.4384765625,355
19,1,1.4384765625,356
1,8,1.439453125,357
3,10,1.439453125,358
7,2,1.439453125,359
12,2,1.44140625,360
13,10,1.4423828125,361
0,1,1.4443359375,362
2,13,1.4482421875,363
3,15,1.453125,364
23,6,1.4580078125,365
22,0,1.4609375,366
0,3,1.4638671875,367
2,0,1.4638671875,368
20,14,1.46484375,369
22,2,1.4658203125,370
0,0,1.466796875,371
3,5,1.466796875,372
15,1,1.466796875,373
0,8,1.46875,374
12,6,1.490234375,375
0,9,1.4921875,376
0,15,1.4931640625,377
6,1,1.501953125,378
23,3,1.501953125,379
23,5,1.5185546875,380
0,7,1.5361328125,381
0,4,1.5576171875,382
0,11,1.5888671875,383
0,2,1.833984375,384
